Coin,Date,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,P0,P1,P2,P3,P4,P5,R_T1W
BTC,02/01/2020,0.401344442,0.501949972,0.263784055,0.695072348,0.820020699,0.178748535,0.888691512,0.344671151,0.944094761,0.190696109,0.177556151,0.565253952,0.239488532,0.829399094,0.546038235,0.366241269,0.788300846,0.052060341
ETH,02/01/2020,0.9537233,0.937394829,0.573306965,0.728807704,0.968054215,0.927621916,0.028180392,0.578307592,0.486134752,0.524561884,0.118918094,0.821657768,0.994209811,0.672401901,0.024934261,0.341651472,0.329999093,0.02201364
BNB,02/01/2020,0.865709741,0.224792313,0.066728931,0.847379318,0.880767158,0.162814496,0.383167593,0.415181864,0.258016365,0.494885435,0.828658856,0.703597682,0.481259549,0.495914673,0.649769236,0.720307719,0.305376279,0.067761937
ADA,03/01/2020,0.432241458,0.912374073,0.923490101,0.694484284,0.183251399,0.115520174,0.94861972,0.208208343,0.468731711,0.977469542,0.836754641,0.239701457,0.760810118,0.716356676,0.503382786,0.901712312,0.76450379,0.030056118
XRP,03/01/2020,0.474750119,0.747513821,0.51925866,0.61728442,0.718469994,0.511902594,0.34856544,0.830760839,0.298156965,0.706211149,0.199386256,0.716777192,0.103840339,0.512047723,0.696320418,0.965660444,0.119993299,0.029360136
BTC,07/01/2020,0.919986775,0.447295139,0.401885921,0.055561178,0.324300935,0.122973832,0.639371362,0.891381293,0.482556463,0.687232674,0.72161658,0.164011501,0.527903469,0.548867445,0.900542689,0.23224078,0.855652404,0.046070856
ETH,07/01/2020,0.639792707,0.525398627,0.319414312,0.120937626,0.827748719,0.067514289,0.55261505,0.159723929,0.628707225,0.14259129,0.354885213,0.598103421,0.321836851,0.922483985,0.39813756,0.467895003,0.235967703,0.068977355
BNB,07/01/2020,0.12509001,0.712171392,0.931987283,0.472328273,0.940959065,0.926249186,0.99702913,0.560164489,0.913637806,0.442214614,0.101331085,0.256730898,0.401677509,0.699697291,0.193578991,0.459676024,0.94943881,0.072267087
ADA,07/01/2020,0.729505953,0.285445373,0.898865274,0.406883386,0.335544573,0.317901299,0.525497568,0.101617308,0.049529704,0.718917861,0.610813767,0.991413844,0.162841079,0.757419043,0.03273783,0.179879979,0.757878925,0.069819131
XRP,07/01/2020,0.025992358,0.285909183,0.594841094,0.829359947,0.885256669,0.712112793,0.87519416,0.511479665,0.555868015,0.441626106,0.78950256,0.467738594,0.610146869,0.22077663,0.065734712,0.779335231,0.288769043,0.098376462
BTC,07/01/2020,0.596430857,0.146112327,0.761646537,0.830607222,0.454844408,0.052265953,0.228983081,0.03340169,0.719481084,0.739805426,0.668682524,0.914426828,0.09281558,0.659006494,0.18265916,0.460741753,0.70111868,0.08331876
